fips,dem_share_pct,gop_share_pct
17201,49.52,48.95
17203,28.22,70.27
18001,22.77,75.42
18003,42.93,55.4
18005,35.32,62.66
18007,25.54,72.66
18009,23.89,74.22
18011,41.0,57.01
18013,32.83,65.46
18015,23.1,75.21
18017,26.2,72.39
18019,38.94,59.3
18021,20.71,77.63
18023,25.19,73.2
18025,24.65,73.2
18027,17.15,81.45
18029,20.07,78.4
18031,19.87,78.37
18033,25.6,72.67
18035,41.21,56.99
18037,27.77,69.99
18039,33.12,65.5
18041,21.18,77.51
18043,41.38,56.89
18045,19.12,79.08
18047,17.13,81.53
18049,23.69,74.94
18051,23.41,74.83
18053,28.18,69.95
18055,22.35,76.07
18057,46.02,52.09
18059,32.21,65.92
18061,25.6,72.55
18063,38.4,59.9
18065,25.29,73.0
18067,31.45,66.72
18069,24.92,73.31
18071,21.52,76.79
18073,22.05,76.37
18075,21.56,76.73
18077,31.01,67.11
18079,19.71,78.52
18081,31.98,66.31
18083,24.0,74.39
18085,22.94,75.21
18087,20.77,77.57
18089,52.09,46.45
18091,42.09,56.23
18093,23.62,74.64
18095,35.58,62.53
18097,63.0,35.33
18099,27.41,70.81
18101,18.71,79.43
18103,21.79,76.34
18105,62.97,35.54
18107,24.95,73.15
18109,21.97,76.3
18111,20.75,77.73
18113,23.53,74.93
18115,21.55,77.03
18117,23.14,75.29
18119,23.84,74.53
18121,20.61,77.53
18123,34.27,64.03
18125,21.87,76.72
18127,43.84,54.32
18129,27.54,70.97
18131,22.22,75.89
18133,23.14,75.11
18135,22.27,75.93
18137,18.65,80.13
18139,21.88,75.92
18141,50.0,48.53
18143,23.45,74.93
18145,25.08,73.09
18147,27.36,70.63
18149,23.25,75.29
18151,28.12,70.24
18153,22.82,75.51
18155,20.51,77.97
18157,48.96,49.11
18159,23.73,74.55
18161,21.36,77.24
18163,42.99,55.64
18165,26.57,71.31
18167,39.97,58.07
18169,23.9,74.7
18171,20.55,77.85
18173,34.13,64.33
18175,21.73,76.55
18177,32.94,65.4
18179,20.21,78.06
18181,26.38,71.39
18183,24.12,74.03
19001,26.72,71.75
19003,27.03,71.19
19005,32.18,66.51
19007,26.07,72.75
19009,29.95,68.35
19011,32.75,65.99
19013,49.96,48.8
19015,38.41,59.94
19017,38.27,60.45
19019,35.15,63.38
19021,32.76,66.02
19023,26.71,72.06
19025,26.08,72.81
19027,28.35,70.27
19029,28.87,69.59
19031,38.36,60.15
19033,43.39,55.04
19035,26.46,72.23
19037,30.8,67.96
19039,28.37,70.42
19041,27.8,71.02
19043,32.16,66.68
19045,39.78,58.64
19047,27.77,71.28
19049,46.94,51.69
19051,22.23,76.63
19053,25.68,72.74
19055,29.45,69.07
19057,41.77,56.82
19059,29.46,69.47
19061,45.1,53.69
19063,27.48,71.5
19065,33.96,64.43
19067,36.49,62.22
19069,28.52,70.24
19071,27.03,71.62
19073,32.89,65.88
19075,28.31,70.09
19077,30.3,68.25
19079,32.77,66.08
19081,25.67,73.08
19083,30.27,68.65
19085,28.28,70.12
19087,31.28,67.26
19089,33.47,65.27
19091,24.39,74.4
19093,22.68,76.08
19095,35.35,63.1
19097,33.08,65.61
19099,35.44,63.04
19101,45.55,52.34
19103,68.37,30.31
19105,36.0,62.29
19107,23.71,75.24
19109,27.27,71.43
19111,35.03,62.85
19113,54.23,44.32
19115,28.82,69.78
19117,25.2,73.29
19119,14.65,84.46
19121,30.1,68.67
19123,23.62,75.22
19125,30.42,68.18
19127,41.44,57.01
19129,29.87,68.97
19131,33.75,64.89
19133,26.78,72.16
19135,24.17,74.87
19137,29.8,68.88
19139,41.7,56.62
19141,19.04,79.96
19143,17.24,81.48
19145,28.23,70.62
19147,26.89,71.86
19149,22.28,76.53
19151,22.28,76.32
19153,54.81,43.92
19155,39.33,59.3
19157,40.79,57.75
19159,23.78,75.1
19161,23.66,75.26
19163,47.33,51.23
19165,27.92,70.92
19167,13.91,85.02
19169,54.4,44.03
19171,35.72,62.59
19173,21.64,77.36
19175,31.25,67.44
19177,21.48,76.89
19179,33.6,65.05
19181,38.92,59.66
19183,37.2,61.63
19185,20.62,77.78
19187,33.77,64.95
