fips,summer_high_f,winter_low_f,summer_avg_f,annual_avg_f,annual_precip_in,annual_snow_in
12109,89.8,48.7,81.1,70.4,52.5,0.0
12111,89.0,55.5,81.4,73.7,58.6,0.0
12113,91.4,41.9,81.3,67.7,65.4,0.1
12115,91.5,52.9,82.5,73.7,55.3,0.0
12117,91.3,51.0,82.3,72.5,53.4,0.0
12119,90.5,45.9,80.4,70.2,50.8,0.0
12121,92.2,45.0,82.2,70.2,53.7,0.0
12123,90.6,43.9,81.3,69.1,53.7,0.0
12125,90.9,43.9,81.0,68.9,53.7,0.0
12127,89.6,49.3,81.3,71.1,53.7,0.0
12129,91.3,41.2,81.5,68.0,58.7,0.0
12131,90.5,42.5,81.4,67.7,66.5,0.0
12133,91.5,41.3,81.6,67.7,63.6,0.0
13001,91.6,39.7,80.6,66.5,46.5,0.0
13003,91.3,39.9,80.7,66.5,52.2,0.1
13005,91.9,40.6,81.1,67.1,45.7,0.1
13007,90.2,39.4,80.0,66.0,52.2,0.0
13009,91.2,35.4,80.2,64.0,48.4,0.5
13011,86.2,32.2,76.2,59.8,54.9,0.7
13013,88.5,34.1,77.5,61.3,52.3,0.4
13015,88.7,30.8,77.0,60.2,52.0,0.4
13017,90.7,39.7,80.6,66.1,47.7,0.0
13019,90.2,39.5,80.1,65.7,50.5,0.0
13021,91.3,37.8,80.9,65.2,49.5,0.0
13023,90.5,37.9,80.3,65.0,48.7,0.0
13025,90.8,38.1,79.9,65.8,52.7,0.0
13027,91.1,39.7,80.3,66.8,52.2,0.0
13029,90.6,42.2,81.4,67.6,51.8,0.0
13031,91.3,39.2,81.0,66.0,47.3,0.1
13033,90.6,35.7,79.8,64.0,47.7,0.4
13035,90.1,33.1,78.6,62.2,49.6,0.6
13037,90.4,38.6,79.9,65.7,52.7,0.1
13039,88.9,42.3,80.2,67.1,53.8,0.0
13043,91.2,40.6,81.4,66.6,47.5,0.1
13045,88.4,33.3,77.9,61.3,54.1,0.7
13047,88.3,33.0,77.8,60.7,50.9,0.2
13049,92.9,44.7,82.4,69.7,52.9,0.0
13051,90.9,41.8,81.7,67.4,52.3,0.0
13053,91.5,36.2,80.6,64.9,50.9,0.2
13055,88.4,31.5,77.1,60.0,58.4,1.1
13057,86.4,31.3,75.9,59.3,54.5,1.3
13059,89.1,34.1,78.3,61.9,50.4,0.6
