fips,dist_to_coast_mi,dist_to_mountains_mi
20047,647.0,351.7
20049,549.9,190.4
20051,651.1,338.2
20053,601.3,327.2
20055,694.0,288.8
20057,649.2,341.7
20059,464.5,214.2
20061,522.1,284.8
20063,689.9,277.6
20065,646.4,302.1
20067,681.6,282.6
20069,667.8,313.0
20071,750.3,223.8
20073,533.5,208.9
20075,722.5,242.4
20077,576.7,271.1
20079,583.6,267.3
20081,669.1,300.7
20083,673.9,328.3
20085,463.0,279.3
20087,447.3,258.9
20089,574.3,376.7
20091,432.0,225.1
20093,707.3,264.3
20095,601.8,284.4
20097,626.5,342.9
20099,519.4,138.6
20101,712.4,289.0
20103,432.5,248.9
20105,592.5,342.3
20107,457.2,182.7
20109,711.3,243.5
20111,509.5,234.8
20113,582.8,290.5
20115,557.6,265.9
20117,490.2,320.8
20119,635.6,331.0
20121,443.5,204.8
20123,583.7,357.7
20125,538.6,157.3
20127,525.6,264.3
20129,678.4,254.5
20131,464.1,307.8
20133,504.3,158.0
20135,691.9,317.0
20137,622.9,297.2
20139,481.6,231.4
20141,612.7,360.7
20143,562.3,324.1
20145,664.2,356.6
20147,605.7,326.7
20149,490.6,292.2
20151,619.7,317.0
20153,661.5,234.9
20155,617.7,293.3
20157,545.4,358.8
20159,611.2,313.2
20161,512.3,299.0
20163,630.4,331.4
20165,660.8,346.5
20167,623.7,360.7
20169,571.4,307.8
20171,724.2,267.2
20173,597.5,254.9
20175,646.9,303.7
20177,471.5,255.9
20179,664.2,272.7
20181,706.5,205.9
20183,589.4,356.2
20185,644.1,327.0
20187,698.5,261.2
20189,662.8,280.1
20191,569.9,242.9
20193,684.6,239.0
20195,670.8,309.6
20197,495.7,263.6
20199,730.9,212.3
20201,518.9,337.6
20203,736.7,245.7
20205,523.5,173.9
20207,511.1,190.8
20209,421.6,239.3
21001,331.4,186.5
21003,349.0,220.7
21005,267.2,213.3
21007,331.2,264.1
21009,337.8,213.1
21011,237.8,163.8
21013,333.8,102.1
21015,200.3,241.3
21017,241.5,185.4
21019,217.0,141.5
21021,291.3,191.6
21023,208.7,204.1
21025,277.1,118.0
21027,276.8,264.8
21029,274.8,241.3
21031,313.5,257.7
21033,315.1,317.3
21035,353.4,296.8
21037,195.8,227.3
21039,343.8,262.1
21041,226.3,244.3
21043,220.9,148.1
21045,311.9,179.9
21047,332.2,292.2
21049,255.7,173.0
21051,304.4,125.7
21053,354.6,166.4
21055,301.7,318.1
21057,354.5,180.6
21059,275.1,293.8
21061,316.5,235.3
21063,234.7,138.7
21065,271.5,154.1
21067,256.6,189.8
21069,222.8,173.0
21071,272.8,96.1
21073,250.1,215.8
21075,367.0,246.0
21077,215.8,237.1
21079,284.9,180.2
21081,219.0,222.5
21083,349.3,277.6
21085,299.4,249.0
21087,322.9,204.8
21089,203.3,160.2
21091,269.1,283.8
21093,288.5,240.4
21095,321.9,93.2
21097,228.1,201.3
