fips,dew_point_f,sunshine_pct
21189,64.4,49.9
21191,64.1,37.9
21193,64.5,49.4
21195,63.4,39.4
21197,64.5,50.2
21199,65.3,41.1
21201,64.2,40.2
21203,64.8,40.4
21205,64.5,49.4
21207,65.6,47.8
21209,64.2,44.4
21211,65.0,36.2
21213,66.8,43.3
21215,65.4,31.7
21217,65.2,34.0
21219,67.2,40.5
21221,67.4,47.9
21223,64.8,26.7
21225,66.7,52.6
21227,66.7,51.8
21229,64.9,37.6
21231,65.7,44.8
21233,66.8,51.8
21235,65.4,38.8
21237,64.5,49.6
21239,64.5,46.5
22001,72.9,52.1
22003,72.5,49.6
22005,73.2,41.1
22007,73.2,41.9
22009,71.8,49.3
22011,72.7,47.9
22013,70.8,48.5
22015,70.3,44.8
22017,70.3,39.8
22019,73.4,52.0
22021,71.2,55.4
22023,73.7,53.3
22025,71.1,52.0
22027,70.7,51.3
22029,71.6,54.7
22031,70.8,39.5
22033,72.3,43.1
22035,70.8,51.0
22037,72.0,44.5
22039,72.6,50.5
22041,71.0,52.3
22043,71.1,45.7
22045,73.2,47.3
22047,73.2,45.5
22049,70.9,52.7
22051,73.3,37.8
22053,73.0,52.0
22055,73.0,53.6
22057,73.3,36.5
22059,71.3,51.7
22061,70.9,52.6
22063,72.5,41.1
22065,70.8,49.4
22067,71.0,58.5
22069,71.0,43.9
22071,73.2,46.3
22073,71.2,57.2
22075,73.3,38.6
22077,72.4,46.3
22079,72.3,48.5
22081,70.8,42.0
22083,71.1,55.4
22085,71.0,42.4
22087,73.0,38.9
22089,73.1,33.2
22091,71.9,44.7
22093,73.3,39.4
22095,72.9,36.9
22097,72.8,51.9
22099,73.1,48.1
22101,73.2,44.6
22103,72.8,42.4
22105,72.3,42.7
22107,70.8,49.7
22109,73.2,41.2
22111,70.9,54.2
22113,73.3,54.6
22115,71.4,43.5
22117,72.1,44.4
22119,70.3,48.1
22121,72.4,44.5
22123,70.9,52.7
22125,72.2,45.4
22127,71.1,46.8
23001,57.5,26.6
23003,54.4,24.0
23005,57.9,32.8
23007,57.2,26.8
23009,56.8,20.0
23011,56.9,22.1
23013,57.2,26.9
23015,57.5,26.3
23017,57.0,29.6
23019,55.7,8.2
23021,54.5,16.2
23023,57.6,28.1
23025,56.8,20.0
23027,57.2,25.5
23029,54.9,0.0
23031,58.3,35.4
24001,60.4,30.1
24003,64.3,26.0
24005,64.3,23.9
24009,65.4,26.7
24011,65.5,31.6
24013,64.2,18.4
24015,64.3,28.4
24017,65.2,29.6
24019,65.8,31.2
24021,63.3,31.8
24023,60.3,14.6
24025,64.6,32.6
24027,64.3,24.1
24029,64.7,34.0
24031,64.2,18.7
24033,64.4,38.6
24035,64.8,35.1
24037,66.0,24.3
24039,67.1,35.0
24041,65.0,27.1
24043,62.3,42.1
24045,65.7,34.6
24047,65.6,39.3
24510,64.3,22.6
25001,60.3,10.2
25003,60.0,16.3
25005,60.5,12.0
25007,60.4,11.2
25009,59.0,17.7
25011,59.3,15.5
25013,60.4,24.2
25015,59.5,16.5
25017,58.7,21.8
25019,60.3,11.4
25021,60.1,15.4
25023,60.4,5.5
25025,59.6,20.4
25027,60.1,19.6
26001,56.6,33.6
26003,53.6,31.6
26005,59.7,26.8
26007,55.9,35.8
26009,56.2,25.0
26011,57.2,30.3
26013,53.6,31.6
26015,59.3,13.2
26017,58.4,27.3
26019,57.1,27.1
26021,60.6,29.5
26023,60.0,13.4
26025,59.3,11.4
26027,60.6,33.5
26029,55.5,28.0
26031,55.2,33.8
26033,54.7,36.5
26035,57.0,27.8
26037,59.0,24.4
26039,56.2,30.8
26041,56.9,14.2
26043,53.6,31.6
26045,59.2,15.4
26047,55.3,30.6
26049,58.8,35.4
26051,57.6,31.5
26053,53.6,31.6
26055,56.7,16.2
26057,58.8,27.7
26059,59.7,19.6
26061,53.6,31.6
26063,58.0,31.5
